#=====================================================
# File created:        Sat-09-Mar-2024-at-11-45-48PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        9.372325
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -419.9784  0.3058 
   00001    0.6700    -660.2997  0.2877 
   00002    0.5650    -767.6541  0.3012 
   00003    0.5325    -860.9546  0.2950 
   00004    0.5150    -895.3336  0.3087 
   00005    0.5200    -918.6510  0.3286 
   00006    0.5275    -940.8450  0.3215 
   00007    0.4925    -954.1592  0.3269 
   00008    0.4725    -964.9489  0.3163 
   00009    0.4900    -971.1595  0.3237 
   00010    0.5075   -1020.0977  0.3194 
   00011    0.4825   -1044.7180  0.3146 
   00012    0.4750   -1052.8791  0.3289 
   00013    0.4475   -1046.9478  0.3292 
   00014    0.4400   -1079.2398  0.3236 
   00015    0.4975   -1072.2274  0.3319 
   00016    0.4475   -1074.7978  0.3475 
   00017    0.4575   -1108.8391  0.3514 
   00018    0.3925   -1121.2892  0.3466 
   00019    0.4200   -1119.3656  0.3512 
   00020    0.3900   -1134.7088  0.3659 
   00021    0.4200   -1117.4404  0.3699 
   00022    0.4225   -1092.3370  0.3649 
   00023    0.4100   -1130.6959  0.3707 
   00024    0.4400   -1122.1990  0.3616 
   00025    0.4050   -1141.2313  0.3753 
   00026    0.4475   -1168.7075  0.3559 
   00027    0.4275   -1171.0972  0.3689 
   00028    0.3900   -1158.6140  0.3455 
   00029    0.4750   -1147.1488  0.3507 
   00030    0.3950   -1168.3297  0.3612 
   00031    0.4575   -1153.5037  0.3535 
   00032    0.4225   -1145.3544  0.3638 
   00033    0.4100   -1151.0181  0.3688 
   00034    0.4100   -1156.9754  0.3576 
   00035    0.4050   -1140.3564  0.3533 
   00036    0.4475   -1143.0092  0.3498 
   00037    0.4625   -1135.0597  0.3577 
   00038    0.4275   -1148.8835  0.3556 
   00039    0.4300   -1196.5720  0.3563 
   00040    0.4225   -1216.3360  0.3441 
   00041    0.4075   -1204.0595  0.3519 
   00042    0.4350   -1170.2500  0.3616 
   00043    0.4100   -1177.4121  0.3552 
   00044    0.4100   -1207.7124  0.3525 
   00045    0.4550   -1220.4369  0.3558 
   00046    0.4175   -1234.3688  0.3668 
   00047    0.4100   -1227.4605  0.3643 
   00048    0.4575   -1248.5996  0.3863 
   00049    0.4100   -1255.3474  0.3978 
   00050    0.4100   -1231.3525  0.3893 
   00051    0.3875   -1220.1139  0.3904 
   00052    0.4225   -1204.2214  0.3955 
   00053    0.3975   -1212.6743  0.4290 
   00054    0.4150   -1214.3001  0.4292 
   00055    0.4050   -1209.6698  0.4071 
   00056    0.4525   -1214.4022  0.4116 
   00057    0.4175   -1216.5836  0.4051 
   00058    0.4225   -1218.4785  0.4156 
   00059    0.4125   -1215.7653  0.4187 
   00060    0.4550   -1209.9037  0.4139 
   00061    0.4000   -1235.7181  0.3977 
   00062    0.4125   -1194.9070  0.3941 
   00063    0.4250   -1180.7075  0.3985 
   00064    0.4550   -1200.9888  0.4067 
   00065    0.4025   -1236.3858  0.4192 
   00066    0.4075   -1221.7157  0.4350 
   00067    0.4025   -1239.7481  0.4360 
   00068    0.4225   -1232.6453  0.4314 
   00069    0.4400   -1239.5415  0.4271 
   00070    0.4325   -1264.2792  0.4351 
   00071    0.4025   -1259.3521  0.4265 
   00072    0.4400   -1250.5103  0.4317 
   00073    0.4450   -1246.1504  0.4423 
   00074    0.4225   -1240.3447  0.4507 
   00075    0.4250   -1258.3309  0.4541 
