#=====================================================
# File created:        Sun-10-Mar-2024-at-03-54-02PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.847000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -30.2333  0.4247 
   00001    0.6800     -38.9949  0.4142 
   00002    0.6400     -42.2824  0.4882 
   00003    0.5600     -41.8610  0.5426 
   00004    0.5600     -46.5036  0.5849 
   00005    0.5600     -46.7369  0.5759 
   00006    0.6000     -51.4857  0.5984 
   00007    0.4800     -52.9694  0.6307 
   00008    0.5600     -62.1194  0.6290 
   00009    0.6400     -68.9924  0.7110 
   00010    0.2400     -70.4067  0.7209 
   00011    0.4800     -72.7041  0.7857 
   00012    0.4000     -66.5260  0.7434 
   00013    0.4000     -70.1442  0.7782 
   00014    0.4400     -75.5080  0.7980 
   00015    0.4000     -70.3558  0.7780 
   00016    0.3200     -73.9756  0.8022 
   00017    0.5200     -79.4579  0.8528 
   00018    0.6000     -79.0585  0.8440 
   00019    0.4800     -81.6699  0.8512 
   00020    0.4000     -81.7951  0.8498 
   00021    0.4400     -81.9983  0.8665 
   00022    0.3200     -80.2324  0.8479 
   00023    0.5200     -85.8479  0.8612 
   00024    0.4400     -83.6748  0.8996 
   00025    0.2400     -83.8063  0.8943 
   00026    0.2000     -84.5376  0.9023 
   00027    0.3200     -84.5495  0.9054 
   00028    0.2400     -85.0365  0.8957 
   00029    0.2400     -85.5904  0.8827 
   00030    0.5600     -83.8633  0.8945 
   00031    0.4000     -85.8827  0.9177 
   00032    0.4800     -86.2758  0.9374 
   00033    0.5600     -86.0883  0.9272 
   00034    0.3200     -84.3906  0.9215 
   00035    0.4000     -81.3679  0.8844 
   00036    0.4400     -82.2120  0.8881 
   00037    0.4800     -77.4774  0.8581 
   00038    0.4400     -79.8207  0.8783 
   00039    0.2400     -84.7296  0.9091 
   00040    0.4000     -79.7658  0.8781 
   00041    0.4800     -80.6584  0.8921 
   00042    0.4000     -77.9356  0.8341 
   00043    0.4800     -76.5869  0.8247 
   00044    0.6400     -79.2246  0.8573 
   00045    0.4400     -75.6575  0.8446 
   00046    0.4000     -73.4795  0.8197 
   00047    0.5200     -75.8313  0.8363 
   00048    0.3200     -77.3089  0.8186 
   00049    0.2800     -76.8901  0.8194 
   00050    0.2800     -75.9418  0.8161 
   00051    0.2400     -78.2035  0.8518 
   00052    0.5600     -79.6584  0.8527 
   00053    0.4000     -83.7694  0.8809 
   00054    0.2800     -79.7398  0.8681 
   00055    0.4800     -77.6856  0.8338 
   00056    0.4800     -82.3610  0.8496 
   00057    0.1600     -83.9537  0.8484 
   00058    0.5600     -76.7748  0.7997 
   00059    0.4000     -80.0307  0.8302 
   00060    0.3200     -81.4620  0.8253 
   00061    0.1600     -80.4921  0.8345 
   00062    0.4400     -84.8704  0.8708 
   00063    0.3600     -82.8537  0.8620 
   00064    0.2800     -87.2366  0.9094 
   00065    0.4800     -83.7746  0.8814 
   00066    0.3200     -80.0350  0.8890 
   00067    0.4400     -83.5715  0.9037 
   00068    0.4400     -87.2290  0.9188 
   00069    0.2800     -87.0066  0.9089 
   00070    0.5200     -85.9538  0.8999 
   00071    0.4000     -83.0544  0.8881 
   00072    0.4400     -87.5642  0.9021 
   00073    0.3600     -85.4949  0.8903 
   00074    0.2400     -85.7462  0.8920 
   00075    0.4000     -86.1004  0.8955 
   00076    0.2800     -86.5082  0.8989 
   00077    0.4800     -87.6330  0.9195 
   00078    0.3200     -85.7154  0.9120 
   00079    0.4000     -87.0108  0.9066 
   00080    0.5600     -83.4871  0.8856 
   00081    0.4000     -82.6544  0.8853 
   00082    0.3600     -85.9716  0.9024 
   00083    0.2800     -82.7167  0.8996 
   00084    0.6000     -73.8348  0.8501 
   00085    0.5200     -71.1539  0.8108 
   00086    0.3600     -79.8537  0.8398 
   00087    0.4800     -77.8649  0.8791 
   00088    0.6000     -73.7788  0.8471 
   00089    0.4000     -74.7166  0.8140 
   00090    0.2800     -73.1387  0.7899 
   00091    0.4400     -72.0219  0.8014 
   00092    0.6400     -82.8912  0.8549 
   00093    0.4000     -77.2350  0.8591 
   00094    0.6000     -72.3751  0.8184 
   00095    0.5200     -79.3398  0.8672 
   00096    0.3600     -81.4569  0.8775 
   00097    0.2800     -72.6806  0.8333 
   00098    0.3600     -72.3047  0.8380 
   00099    0.4000     -73.4185  0.8480 
   00100    0.4000     -78.5984  0.8580 
   00101    0.4800     -80.0976  0.8800 
   00102    0.3600     -79.4525  0.8653 
   00103    0.5200     -83.7839  0.8881 
   00104    0.4800     -86.6680  0.9193 
   00105    0.4000     -86.2567  0.9371 
   00106    0.2800     -86.1328  0.9229 
   00107    0.2000     -87.4917  0.9247 
   00108    0.4400     -84.0030  0.9182 
   00109    0.6000     -83.6158  0.9202 
   00110    0.3600     -87.4925  0.9183 
   00111    0.2400     -83.3058  0.9025 
   00112    0.4800     -79.8428  0.8850 
   00113    0.4000     -85.1086  0.9157 
   00114    0.4400     -90.0476  0.9526 
   00115    0.4400     -88.0387  0.9395 
   00116    0.3200     -86.5792  0.9338 
   00117    0.2000     -87.6560  0.9270 
   00118    0.3200     -79.6311  0.8997 
   00119    0.4000     -78.5934  0.8719 
   00120    0.4400     -79.0376  0.8615 
   00121    0.4000     -79.8074  0.8486 
   00122    0.4800     -82.1599  0.8644 
   00123    0.3200     -86.8749  0.9162 
   00124    0.2800     -82.0491  0.8931 
   00125    0.1200     -84.4377  0.8955 
   00126    0.2400     -83.4351  0.8931 
   00127    0.3200     -83.8826  0.8788 
   00128    0.4400     -84.4960  0.9097 
   00129    0.4000     -85.9504  0.9196 
   00130    0.3600     -85.7309  0.9084 
   00131    0.4000     -88.8374  0.9355 
   00132    0.2800     -87.5788  0.9272 
   00133    0.5600     -91.1183  0.9522 
   00134    0.3200     -93.4059  0.9646 
   00135    0.3200     -92.1688  0.9551 
   00136    0.3600     -91.0719  0.9441 
   00137    0.3200     -87.1833  0.9141 
   00138    0.5200     -83.6963  0.8971 
   00139    0.2000     -84.7205  0.8995 
   00140    0.5600     -83.9237  0.9038 
   00141    0.4800     -86.7335  0.9164 
   00142    0.4000     -82.7853  0.8957 
   00143    0.4000     -85.0680  0.9068 
   00144    0.5200     -73.1051  0.8484 
   00145    0.5200     -66.9708  0.8052 
   00146    0.4400     -59.9108  0.7342 
   00147    0.4000     -55.3558  0.6850 
   00148    0.4800     -61.8351  0.7217 
   00149    0.6000     -60.9329  0.7553 
   00150    0.4400     -68.6443  0.8318 
   00151    0.4800     -76.1391  0.8761 
   00152    0.6000     -76.5116  0.8385 
   00153    0.4800     -70.8012  0.8038 
   00154    0.3600     -76.0450  0.8278 
   00155    0.4000     -78.9575  0.8562 
   00156    0.4000     -84.7761  0.9103 
   00157    0.2800     -84.7816  0.9092 
   00158    0.4400     -83.8774  0.9062 
   00159    0.4800     -86.7820  0.9224 
   00160    0.5600     -87.8882  0.9249 
   00161    0.5200     -83.0318  0.8771 
   00162    0.3600     -83.1512  0.8779 
   00163    0.4000     -79.4994  0.8670 
   00164    0.3200     -81.0570  0.8684 
   00165    0.2800     -80.3369  0.8512 
   00166    0.3200     -77.7509  0.8368 
   00167    0.4400     -85.3832  0.8691 
   00168    0.5600     -86.5698  0.9064 
   00169    0.3600     -90.0469  0.9208 
   00170    0.2800     -87.1169  0.9216 
   00171    0.3600     -84.9793  0.9120 
   00172    0.4000     -86.8128  0.8913 
   00173    0.3600     -80.4002  0.8554 
   00174    0.3600     -81.6866  0.8721 
   00175    0.3200     -81.4475  0.8723 
   00176    0.3600     -84.1954  0.9012 
   00177    0.3200     -80.7600  0.8654 
   00178    0.2800     -78.8171  0.8305 
   00179    0.4000     -79.8434  0.8595 
   00180    0.4000     -80.1942  0.8725 
   00181    0.3200     -75.0862  0.8527 
   00182    0.4800     -76.8277  0.8627 
   00183    0.4000     -85.0246  0.8838 
   00184    0.4800     -84.0335  0.8477 
   00185    0.3600     -82.7717  0.8678 
   00186    0.4000     -78.8275  0.8033 
   00187    0.2800     -79.9653  0.8223 
   00188    0.4000     -76.2292  0.7591 
   00189    0.2400     -79.3015  0.7873 
   00190    0.3200     -81.6325  0.8301 
   00191    0.3200     -81.3730  0.8751 
   00192    0.3600     -82.6256  0.9011 
   00193    0.4400     -80.1936  0.8762 
   00194    0.4800     -87.6880  0.9255 
   00195    0.5200     -85.5451  0.9081 
   00196    0.4000     -90.0398  0.9306 
   00197    0.5200     -91.8238  0.9419 
   00198    0.4000     -89.3778  0.9153 
   00199    0.4400     -85.7429  0.9127 
   00200    0.2800     -86.5869  0.9258 
   00201    0.3600     -83.8238  0.9122 
   00202    0.4400     -81.9106  0.8799 
   00203    0.4400     -81.6334  0.8925 
   00204    0.3600     -83.0584  0.9062 
   00205    0.2800     -82.6662  0.9063 
   00206    0.2800     -79.1262  0.8850 
   00207    0.5600     -71.4537  0.8394 
   00208    0.4400     -72.7652  0.8631 
   00209    0.5600     -69.9409  0.8579 
   00210    0.4800     -61.8184  0.7950 
   00211    0.3600     -68.7770  0.8319 
   00212    0.6000     -69.7685  0.8181 
   00213    0.4000     -74.2213  0.8531 
   00214    0.4000     -83.1407  0.9114 
   00215    0.4800     -84.5168  0.8965 
   00216    0.3600     -87.8827  0.9048 
   00217    0.2400     -86.2366  0.8974 
   00218    0.3200     -85.3198  0.8696 
   00219    0.4400     -80.9788  0.8571 
   00220    0.3200     -84.6268  0.8823 
   00221    0.2800     -88.7820  0.9117 
   00222    0.4000     -83.8483  0.8855 
   00223    0.4000     -89.2293  0.9323 
   00224    0.4000     -92.8023  0.9615 
   00225    0.2800     -93.2608  0.9662 
   00226    0.3600     -88.3721  0.9453 
   00227    0.2000     -89.4744  0.9440 
   00228    0.4000     -86.4450  0.9288 
   00229    0.3600     -77.1919  0.8847 
   00230    0.3600     -74.5318  0.8708 
   00231    0.5200     -73.2208  0.8433 
   00232    0.4400     -76.1211  0.8490 
   00233    0.4000     -80.4286  0.8705 
   00234    0.5200     -84.9704  0.8805 
   00235    0.4400     -84.8768  0.8819 
   00236    0.4000     -83.1259  0.8949 
   00237    0.6400     -83.1958  0.9095 
   00238    0.2800     -87.4728  0.9303 
   00239    0.4400     -86.9033  0.9195 
   00240    0.3200     -88.7107  0.9365 
   00241    0.2800     -86.4771  0.9220 
   00242    0.4000     -87.3727  0.9233 
   00243    0.2800     -85.1575  0.8959 
   00244    0.3200     -85.9556  0.8857 
   00245    0.5200     -86.0487  0.9138 
   00246    0.4000     -88.1207  0.9243 
   00247    0.4000     -91.7503  0.9392 
   00248    0.3200     -92.0958  0.9469 
   00249    0.3600     -92.8405  0.9555 
   00250    0.4000     -81.5673  0.8827 
   00251    0.5600     -76.2431  0.8354 
   00252    0.3200     -76.8052  0.8059 
   00253    0.4800     -75.6864  0.8225 
   00254    0.4000     -77.3241  0.8375 
   00255    0.5200     -80.9093  0.8870 
   00256    0.5600     -83.0333  0.8889 
   00257    0.4000     -80.0184  0.8475 
   00258    0.4000     -78.6961  0.8446 
   00259    0.4400     -77.1180  0.8704 
   00260    0.4400     -80.2882  0.8769 
   00261    0.4400     -79.0135  0.8848 
   00262    0.4400     -80.4290  0.8767 
   00263    0.4800     -70.1468  0.8312 
   00264    0.6000     -67.5790  0.8215 
   00265    0.3600     -70.4673  0.8384 
   00266    0.5600     -77.7843  0.8714 
   00267    0.5200     -77.7521  0.8802 
   00268    0.4000     -85.2068  0.9186 
   00269    0.3200     -84.2009  0.8980 
   00270    0.2800     -85.0364  0.9024 
   00271    0.2800     -87.5887  0.9278 
   00272    0.3200     -86.2231  0.9143 
   00273    0.5200     -81.8196  0.8886 
   00274    0.2400     -83.4084  0.8923 
   00275    0.4000     -79.0806  0.8363 
   00276    0.2800     -80.6914  0.8537 
   00277    0.4000     -86.7822  0.9094 
   00278    0.6000     -87.1052  0.9207 
   00279    0.2800     -87.8752  0.9136 
   00280    0.3600     -86.5547  0.8942 
   00281    0.4800     -83.6599  0.8890 
   00282    0.2800     -83.5501  0.8694 
   00283    0.5200     -69.0417  0.7671 
   00284    0.4400     -73.0913  0.8274 
   00285    0.3200     -73.1547  0.8388 
   00286    0.4000     -70.2337  0.7860 
   00287    0.6000     -70.6524  0.7688 
   00288    0.5600     -73.4883  0.7752 
   00289    0.3600     -70.5259  0.7635 
   00290    0.5200     -73.6961  0.8276 
   00291    0.3600     -73.8016  0.8390 
   00292    0.1600     -74.3793  0.8518 
   00293    0.4000     -82.1831  0.8805 
   00294    0.4400     -76.6846  0.8709 
   00295    0.3200     -78.6053  0.8580 
   00296    0.3600     -72.3775  0.8483 
   00297    0.6800     -79.3995  0.8686 
   00298    0.5200     -77.7982  0.8661 
   00299    0.4400     -77.1297  0.8519 
   00300    0.2800     -76.5971  0.8506 
   00301    0.4400     -88.1775  0.9114 
   00302    0.4400     -82.5575  0.8552 
   00303    0.1600     -82.8921  0.8695 
   00304    0.3600     -85.5514  0.9031 
   00305    0.3200     -81.5898  0.8532 
   00306    0.3600     -86.3690  0.8963 
   00307    0.3600     -85.2267  0.8951 
   00308    0.5200     -82.8550  0.9173 
   00309    0.1600     -86.4320  0.9219 
   00310    0.4400     -86.2384  0.9206 
   00311    0.3200     -85.3385  0.9210 
   00312    0.4400     -85.1025  0.9098 
   00313    0.4800     -86.8001  0.9198 
   00314    0.2800     -87.6050  0.9250 
   00315    0.2800     -81.4019  0.8998 
   00316    0.4000     -79.9712  0.8919 
   00317    0.4800     -80.3935  0.9007 
   00318    0.2400     -81.8219  0.8975 
   00319    0.2400     -81.0925  0.8935 
   00320    0.3200     -79.3253  0.8585 
   00321    0.4800     -78.6551  0.8558 
   00322    0.4800     -80.3232  0.8713 
   00323    0.3600     -80.2578  0.8795 
   00324    0.2400     -81.7005  0.8970 
   00325    0.4800     -81.6461  0.8926 
   00326    0.4800     -81.2854  0.8812 
   00327    0.4000     -83.8647  0.9051 
   00328    0.4000     -78.9411  0.8721 
   00329    0.4400     -75.4509  0.8442 
   00330    0.5200     -81.9561  0.8773 
   00331    0.4800     -84.6251  0.8900 
   00332    0.4800     -90.2739  0.9375 
   00333    0.2800     -92.7650  0.9573 
   00334    0.3200     -90.9906  0.9513 
   00335    0.1600     -90.9553  0.9491 
   00336    0.4400     -89.8565  0.9384 
   00337    0.2400     -91.1613  0.9411 
   00338    0.4000     -77.2505  0.8361 
   00339    0.4000     -73.1992  0.8401 
   00340    0.4000     -72.4199  0.8278 
   00341    0.2800     -74.7201  0.7971 
