#=====================================================
# File created:        Sun-10-Mar-2024-at-02-17-10PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.324013
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -410.2031  0.2767 
   00001    0.4550    -361.2780  0.2675 
   00002    0.4775    -396.7702  0.2857 
   00003    0.5000    -410.2585  0.2750 
   00004    0.5000    -398.2155  0.2753 
   00005    0.4900    -392.7835  0.2538 
   00006    0.4625    -365.3640  0.2714 
   00007    0.5125    -358.5075  0.2631 
   00008    0.5425    -374.4735  0.2937 
   00009    0.5200    -371.0530  0.2746 
   00010    0.5750    -421.3072  0.2845 
   00011    0.4825    -423.4702  0.2767 
   00012    0.5625    -456.3119  0.2954 
   00013    0.4400    -461.7432  0.2899 
   00014    0.5125    -470.7391  0.2670 
   00015    0.4750    -430.4188  0.2729 
   00016    0.5400    -417.7618  0.2625 
   00017    0.5025    -391.4282  0.2631 
   00018    0.4750    -416.6024  0.2811 
   00019    0.4850    -374.6996  0.2681 
   00020    0.5000    -351.1537  0.3020 
   00021    0.5300    -367.9464  0.2836 
   00022    0.5200    -399.9559  0.2868 
   00023    0.4625    -408.8316  0.2574 
   00024    0.4400    -432.0593  0.2629 
   00025    0.5225    -444.0722  0.2571 
   00026    0.4950    -440.4719  0.2728 
   00027    0.4775    -398.2654  0.2890 
   00028    0.5075    -423.3806  0.3040 
   00029    0.5050    -429.3831  0.3102 
   00030    0.5200    -444.9708  0.3351 
   00031    0.4300    -430.0611  0.3178 
   00032    0.5025    -416.8616  0.2903 
   00033    0.5625    -443.5829  0.2787 
   00034    0.4175    -426.8534  0.2614 
   00035    0.5375    -440.0827  0.2589 
   00036    0.4475    -443.3333  0.2641 
   00037    0.4600    -443.2945  0.2825 
   00038    0.4550    -382.0712  0.3028 
   00039    0.5400    -429.6322  0.3087 
   00040    0.5200    -414.3150  0.2726 
   00041    0.5500    -393.0675  0.2866 
   00042    0.5375    -387.5441  0.2801 
   00043    0.5200    -436.5623  0.2910 
   00044    0.5300    -433.3102  0.3178 
   00045    0.4775    -412.7221  0.2987 
   00046    0.4850    -386.5207  0.2856 
   00047    0.5375    -403.1076  0.2702 
   00048    0.5050    -390.1866  0.2682 
   00049    0.5050    -394.3292  0.2806 
   00050    0.5175    -403.0335  0.2720 
   00051    0.4900    -363.7214  0.2716 
   00052    0.4925    -387.0611  0.2715 
   00053    0.5075    -407.5190  0.2668 
   00054    0.5050    -451.0602  0.2759 
   00055    0.4050    -452.4240  0.2607 
   00056    0.4775    -436.0726  0.2570 
   00057    0.4250    -411.9788  0.2596 
   00058    0.4725    -425.1199  0.2543 
   00059    0.4650    -448.1206  0.2608 
   00060    0.4600    -412.2245  0.2654 
   00061    0.4325    -408.0138  0.2705 
   00062    0.5225    -440.4608  0.2883 
   00063    0.4325    -397.4628  0.2676 
   00064    0.4950    -397.3266  0.2695 
   00065    0.4425    -384.2981  0.2697 
   00066    0.5025    -382.6973  0.2883 
   00067    0.5550    -390.9804  0.2841 
   00068    0.4925    -395.5260  0.2563 
   00069    0.4775    -403.1918  0.2971 
   00070    0.5450    -418.9482  0.2758 
   00071    0.4100    -376.1775  0.2632 
   00072    0.5325    -393.4986  0.2775 
   00073    0.5175    -389.1597  0.2649 
   00074    0.5075    -351.1778  0.2669 
   00075    0.5425    -320.3775  0.2936 
   00076    0.5625    -362.3969  0.2942 
   00077    0.5125    -401.4482  0.2955 
   00078    0.5075    -401.3403  0.2985 
   00079    0.5375    -362.3620  0.2972 
   00080    0.5125    -317.3121  0.2874 
   00081    0.5975    -299.7436  0.2996 
   00082    0.5450    -353.0691  0.3249 
   00083    0.5425    -338.6132  0.3229 
   00084    0.5400    -377.4467  0.3242 
   00085    0.5375    -407.3304  0.3587 
   00086    0.4175    -381.6291  0.3256 
   00087    0.5025    -367.1564  0.3178 
   00088    0.5100    -400.0838  0.3181 
   00089    0.5650    -405.9403  0.2986 
   00090    0.4550    -381.5530  0.2880 
   00091    0.5700    -445.6414  0.2759 
   00092    0.4475    -456.3793  0.2724 
   00093    0.4800    -435.8835  0.2871 
   00094    0.4800    -408.8029  0.3060 
   00095    0.4450    -406.2624  0.3079 
   00096    0.4900    -434.1911  0.3110 
   00097    0.4100    -427.3915  0.3048 
   00098    0.4925    -426.0556  0.3015 
   00099    0.4775    -416.5150  0.3015 
   00100    0.4775    -453.9679  0.3237 
   00101    0.3850    -427.5918  0.3387 
   00102    0.5325    -473.5268  0.3312 
   00103    0.4500    -455.8823  0.3346 
   00104    0.4950    -420.6684  0.3113 
   00105    0.4975    -405.2191  0.3005 
   00106    0.5100    -435.5732  0.2995 
   00107    0.4725    -388.1761  0.2865 
   00108    0.5800    -360.5622  0.2685 
   00109    0.4825    -381.4195  0.2657 
   00110    0.4300    -385.9698  0.2817 
   00111    0.4900    -347.3261  0.2565 
   00112    0.5125    -351.4116  0.2753 
   00113    0.5400    -363.2476  0.2595 
   00114    0.4575    -373.5459  0.2671 
   00115    0.6250    -414.0780  0.2581 
   00116    0.4650    -407.0158  0.2651 
   00117    0.4725    -425.7745  0.2669 
   00118    0.4575    -435.4403  0.2653 
   00119    0.5250    -432.1577  0.2690 
   00120    0.4975    -434.5723  0.2776 
   00121    0.4575    -448.2435  0.2824 
   00122    0.4975    -432.6655  0.2772 
   00123    0.4700    -425.6402  0.2584 
   00124    0.4250    -394.7377  0.2698 
   00125    0.4875    -395.4431  0.2777 
   00126    0.4650    -365.3005  0.2816 
   00127    0.5725    -400.5971  0.2637 
   00128    0.4475    -348.1810  0.2596 
   00129    0.5100    -332.0594  0.2738 
   00130    0.5725    -369.0384  0.2824 
   00131    0.4775    -359.5325  0.2865 
   00132    0.5475    -390.5454  0.3017 
   00133    0.4650    -376.7901  0.2935 
   00134    0.5550    -375.8592  0.2796 
   00135    0.5425    -391.5280  0.2634 
   00136    0.4875    -383.9870  0.2799 
   00137    0.5000    -398.0736  0.2680 
   00138    0.4300    -355.0334  0.2535 
   00139    0.5250    -374.8336  0.2559 
   00140    0.4900    -384.0615  0.2667 
   00141    0.4975    -400.6070  0.2913 
   00142    0.5200    -398.8283  0.2718 
   00143    0.5275    -402.1242  0.2794 
   00144    0.4550    -376.2700  0.2621 
   00145    0.5200    -361.6673  0.2570 
   00146    0.5025    -375.4827  0.2666 
   00147    0.5700    -386.0952  0.2559 
   00148    0.5425    -383.5104  0.2811 
   00149    0.5150    -363.9106  0.2865 
   00150    0.5125    -383.1646  0.2869 
   00151    0.4975    -381.7047  0.2828 
   00152    0.5225    -396.6732  0.2716 
   00153    0.5000    -432.7222  0.2680 
   00154    0.5375    -429.3395  0.2731 
   00155    0.5275    -428.1582  0.3009 
   00156    0.4825    -437.5642  0.3062 
   00157    0.4475    -431.2139  0.2744 
   00158    0.4200    -381.7735  0.2758 
   00159    0.5000    -388.4970  0.2729 
   00160    0.4250    -364.6999  0.2872 
   00161    0.4875    -391.2317  0.2833 
   00162    0.5100    -417.2511  0.2975 
   00163    0.4575    -443.5859  0.2584 
   00164    0.4650    -413.8134  0.2725 
   00165    0.4450    -379.1639  0.2815 
   00166    0.5425    -429.6992  0.3008 
   00167    0.4325    -418.5808  0.2976 
   00168    0.4725    -428.1652  0.3089 
   00169    0.4850    -425.6421  0.2899 
   00170    0.4575    -417.7747  0.2793 
   00171    0.5350    -416.4194  0.2776 
   00172    0.4625    -390.8135  0.2914 
   00173    0.4600    -413.2071  0.2756 
   00174    0.4675    -393.5715  0.3070 
   00175    0.4775    -396.0764  0.3110 
   00176    0.4700    -411.5693  0.3095 
   00177    0.5450    -470.7577  0.2872 
   00178    0.4400    -440.5777  0.2969 
   00179    0.5050    -428.5054  0.2958 
   00180    0.4675    -440.9248  0.2874 
   00181    0.5100    -432.9445  0.2721 
   00182    0.4825    -436.9771  0.2825 
   00183    0.5025    -407.5156  0.2749 
   00184    0.5350    -424.1397  0.2612 
   00185    0.4675    -405.5817  0.2605 
   00186    0.5500    -405.9565  0.2567 
   00187    0.4875    -395.8398  0.2650 
   00188    0.5100    -371.3956  0.2562 
   00189    0.5600    -380.7969  0.2689 
   00190    0.5575    -413.1569  0.2662 
   00191    0.4950    -365.5665  0.2719 
   00192    0.5250    -368.0729  0.2808 
   00193    0.5600    -397.5127  0.2742 
   00194    0.5100    -405.2127  0.2623 
   00195    0.5250    -421.5090  0.2674 
   00196    0.4800    -411.3446  0.2569 
   00197    0.4425    -401.6081  0.2664 
   00198    0.4175    -390.6519  0.2526 
   00199    0.5225    -380.4599  0.2675 
   00200    0.4075    -383.1232  0.2670 
   00201    0.5250    -396.7960  0.2690 
   00202    0.5000    -439.0923  0.2854 
   00203    0.5275    -383.4934  0.2625 
   00204    0.5775    -467.1272  0.2998 
   00205    0.4300    -433.6140  0.2943 
   00206    0.5100    -434.5455  0.2993 
   00207    0.4400    -414.9494  0.2942 
   00208    0.5150    -409.6121  0.2786 
   00209    0.5100    -413.3961  0.2799 
   00210    0.4500    -383.4297  0.2750 
   00211    0.5425    -377.3209  0.2623 
   00212    0.4550    -375.0481  0.2682 
   00213    0.5200    -354.2528  0.2864 
   00214    0.5350    -381.9035  0.2866 
   00215    0.4600    -375.4838  0.2949 
   00216    0.5700    -427.0323  0.2926 
   00217    0.4025    -390.3477  0.2679 
   00218    0.4725    -423.7674  0.2863 
   00219    0.5425    -457.5417  0.2664 
   00220    0.4375    -431.5043  0.2816 
   00221    0.4575    -436.1730  0.2791 
   00222    0.4325    -388.1835  0.2621 
   00223    0.5050    -389.2144  0.2629 
   00224    0.5150    -396.1768  0.2674 
   00225    0.4775    -385.7473  0.2738 
   00226    0.4950    -389.1955  0.2928 
   00227    0.4825    -374.5670  0.2974 
   00228    0.5400    -415.0054  0.2827 
   00229    0.5600    -408.6087  0.2792 
   00230    0.5350    -470.5919  0.2862 
   00231    0.4325    -445.9793  0.2959 
   00232    0.5225    -474.7149  0.2998 
   00233    0.4775    -425.8618  0.2848 
   00234    0.4725    -388.2887  0.2774 
   00235    0.4775    -397.4495  0.3025 
   00236    0.5400    -406.6284  0.3002 
   00237    0.4600    -411.4139  0.3034 
   00238    0.5700    -414.9543  0.3131 
   00239    0.5050    -394.1943  0.2935 
   00240    0.5600    -400.2036  0.2924 
   00241    0.5175    -403.2058  0.2758 
   00242    0.4725    -417.0033  0.2916 
   00243    0.5325    -424.2955  0.3073 
   00244    0.4825    -420.4041  0.3112 
   00245    0.5050    -414.6500  0.2754 
   00246    0.4825    -446.1644  0.3169 
   00247    0.4050    -432.9548  0.3225 
   00248    0.4850    -474.7130  0.3434 
   00249    0.4850    -427.5777  0.3181 
   00250    0.4775    -483.2290  0.3271 
   00251    0.5025    -405.0713  0.3146 
   00252    0.4250    -367.8923  0.3108 
   00253    0.4650    -371.6903  0.3114 
   00254    0.4350    -397.4706  0.2914 
   00255    0.5100    -386.9803  0.2960 
   00256    0.5200    -371.7843  0.2781 
   00257    0.4925    -392.5356  0.2762 
   00258    0.4475    -401.4875  0.2715 
   00259    0.5075    -403.6949  0.3063 
   00260    0.4875    -418.9663  0.2949 
   00261    0.5125    -440.4290  0.2817 
   00262    0.4625    -414.7750  0.2846 
   00263    0.4650    -421.0908  0.2607 
   00264    0.4250    -427.3416  0.2637 
   00265    0.4375    -423.4097  0.2807 
   00266    0.4900    -413.2620  0.3048 
   00267    0.5425    -404.0741  0.2830 
   00268    0.5300    -408.2728  0.2944 
   00269    0.5300    -459.3892  0.3221 
   00270    0.4950    -452.4228  0.3434 
   00271    0.4950    -455.9621  0.3559 
   00272    0.3775    -418.6459  0.3242 
   00273    0.5075    -399.5306  0.2886 
   00274    0.4975    -389.5008  0.2835 
   00275    0.4825    -383.4436  0.2780 
   00276    0.4725    -380.6541  0.2666 
   00277    0.5050    -393.9586  0.2921 
   00278    0.5200    -370.9356  0.2926 
   00279    0.5250    -349.8145  0.2841 
   00280    0.5725    -415.0421  0.2971 
   00281    0.4600    -406.9340  0.3168 
   00282    0.4875    -422.2693  0.2899 
   00283    0.4500    -410.9732  0.2774 
   00284    0.4900    -411.5830  0.3079 
   00285    0.4525    -399.6516  0.2933 
   00286    0.4750    -375.6125  0.2917 
   00287    0.4900    -375.7536  0.2598 
   00288    0.4950    -366.6578  0.2522 
   00289    0.5600    -360.7724  0.2619 
   00290    0.5575    -372.0054  0.2859 
   00291    0.4625    -361.9904  0.2696 
   00292    0.5150    -432.4997  0.2542 
   00293    0.4900    -440.3131  0.2576 
   00294    0.4700    -428.0465  0.2738 
   00295    0.4875    -400.4637  0.2622 
   00296    0.4375    -382.5728  0.2640 
   00297    0.5550    -432.4982  0.2671 
