#=====================================================
# File created:        Sat-09-Mar-2024-at-04-12-26PM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.650
# Run time (s):        0.322349
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -383.0293  0.2997 
   00001    0.5225    -429.3704  0.2871 
   00002    0.5100    -400.4791  0.2703 
   00003    0.5225    -433.3917  0.2821 
   00004    0.4750    -432.6616  0.2840 
   00005    0.4875    -422.6702  0.2969 
   00006    0.4800    -418.2396  0.2739 
   00007    0.5025    -430.9023  0.2718 
   00008    0.4750    -392.9137  0.2791 
   00009    0.5375    -389.1439  0.2836 
   00010    0.5425    -417.6595  0.2836 
   00011    0.4775    -391.0642  0.2841 
   00012    0.5975    -412.0380  0.2668 
   00013    0.4950    -389.4894  0.2733 
   00014    0.5375    -383.4762  0.2783 
   00015    0.5600    -400.2900  0.2791 
   00016    0.4125    -391.9651  0.2718 
   00017    0.5200    -366.5016  0.2763 
   00018    0.5200    -357.3434  0.2700 
   00019    0.5700    -398.4808  0.2825 
   00020    0.5250    -420.1816  0.2770 
   00021    0.4775    -405.1846  0.2897 
   00022    0.5175    -378.5167  0.2764 
   00023    0.5050    -381.6921  0.2684 
   00024    0.5300    -404.9876  0.2924 
   00025    0.5000    -408.0939  0.3017 
   00026    0.4500    -379.6810  0.2953 
   00027    0.5550    -423.7050  0.2996 
   00028    0.4975    -436.4096  0.2874 
   00029    0.4675    -394.8963  0.3012 
   00030    0.4550    -392.3211  0.3069 
   00031    0.4950    -406.1333  0.3064 
   00032    0.4200    -404.6560  0.2992 
   00033    0.4450    -369.3153  0.2821 
   00034    0.5350    -359.2217  0.2758 
   00035    0.5325    -392.5894  0.2682 
   00036    0.4900    -359.2225  0.2597 
   00037    0.6175    -431.2754  0.2649 
   00038    0.4350    -378.5056  0.2848 
   00039    0.5300    -346.7039  0.2893 
   00040    0.5950    -361.2673  0.3000 
   00041    0.4675    -345.5418  0.2694 
   00042    0.5450    -339.7383  0.2802 
   00043    0.4875    -343.5798  0.3001 
   00044    0.5150    -373.6069  0.2906 
   00045    0.5550    -402.1348  0.2733 
   00046    0.5575    -454.4470  0.2778 
   00047    0.5025    -433.2511  0.2673 
   00048    0.5350    -458.8824  0.2629 
   00049    0.4750    -428.8421  0.2732 
   00050    0.4400    -433.1984  0.2718 
   00051    0.4325    -426.1457  0.2726 
   00052    0.5525    -452.2048  0.2763 
   00053    0.4575    -425.9104  0.2763 
   00054    0.4125    -379.3951  0.2810 
   00055    0.5475    -375.4249  0.2657 
   00056    0.5550    -355.5014  0.3017 
   00057    0.4825    -320.9667  0.2896 
   00058    0.5825    -367.1384  0.2937 
   00059    0.5025    -404.6148  0.2995 
   00060    0.5375    -407.2822  0.2742 
   00061    0.4800    -391.9348  0.2842 
   00062    0.4875    -389.0664  0.2747 
   00063    0.5150    -375.2529  0.2684 
   00064    0.4575    -399.3752  0.2574 
   00065    0.5425    -399.0903  0.2579 
   00066    0.5650    -352.2355  0.3050 
   00067    0.4500    -343.6073  0.3145 
   00068    0.5450    -341.2359  0.3246 
   00069    0.5950    -409.4671  0.3324 
   00070    0.4675    -401.7761  0.3016 
   00071    0.5250    -434.7914  0.2791 
   00072    0.5000    -432.8669  0.2970 
   00073    0.4650    -404.3831  0.3031 
   00074    0.4950    -396.4190  0.2816 
   00075    0.4425    -385.3705  0.2950 
   00076    0.5350    -373.2931  0.2992 
   00077    0.5575    -381.8689  0.2825 
   00078    0.5450    -382.9359  0.2830 
   00079    0.4900    -407.5667  0.2735 
   00080    0.4625    -379.3296  0.2834 
   00081    0.5600    -399.9101  0.2684 
   00082    0.4700    -410.4501  0.2681 
   00083    0.5250    -421.2990  0.2809 
   00084    0.4475    -362.3359  0.2791 
   00085    0.4825    -384.9960  0.2822 
   00086    0.5075    -434.4069  0.2795 
   00087    0.5875    -483.6754  0.2793 
   00088    0.4950    -494.9901  0.2944 
   00089    0.4125    -467.1786  0.2689 
   00090    0.5225    -459.4950  0.2978 
   00091    0.4675    -425.1726  0.2746 
   00092    0.5275    -392.0136  0.2850 
   00093    0.4925    -339.9510  0.2788 
   00094    0.4675    -335.4829  0.2815 
   00095    0.5625    -371.6590  0.2925 
   00096    0.5175    -359.9109  0.2889 
   00097    0.5400    -399.3673  0.2919 
   00098    0.5150    -436.5746  0.2724 
   00099    0.5350    -466.9800  0.3007 
   00100    0.4300    -447.6247  0.2937 
