#=====================================================
# File created:        Fri-08-Mar-2024-at-06-22-32PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.205317
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -75.6159  0.3718 
   00001    0.7600    -138.4134  0.3838 
   00002    0.5800    -180.7116  0.3011 
   00003    0.6100    -175.1559  0.3174 
   00004    0.6500    -188.6938  0.3033 
   00005    0.4900    -192.7709  0.3289 
   00006    0.6400    -197.0430  0.3434 
   00007    0.6000    -184.8241  0.2815 
   00008    0.5200    -181.0395  0.2838 
   00009    0.5600    -191.0797  0.3369 
   00010    0.5300    -195.1058  0.3502 
   00011    0.6100    -187.5968  0.3240 
   00012    0.5500    -212.7976  0.3836 
   00013    0.6500    -203.6539  0.3663 
   00014    0.5200    -201.6063  0.2720 
   00015    0.5800    -217.5582  0.3000 
   00016    0.5600    -219.9245  0.3030 
   00017    0.5700    -225.3255  0.3008 
   00018    0.5800    -250.2590  0.3561 
   00019    0.4200    -257.3331  0.3443 
   00020    0.5100    -241.7928  0.3861 
   00021    0.4700    -239.1214  0.4662 
   00022    0.5100    -251.9931  0.5414 
   00023    0.5500    -262.7331  0.5315 
   00024    0.4500    -252.1969  0.5257 
   00025    0.5200    -268.2157  0.5998 
   00026    0.4300    -264.2622  0.5922 
   00027    0.5100    -261.7823  0.5928 
   00028    0.5500    -242.6816  0.5810 
   00029    0.5100    -239.0067  0.5779 
   00030    0.5300    -247.4334  0.5697 
   00031    0.5500    -235.3322  0.5779 
   00032    0.4700    -216.7885  0.5794 
   00033    0.5100    -201.7340  0.5512 
   00034    0.5900    -209.0087  0.5472 
   00035    0.5100    -239.5282  0.6088 
   00036    0.5300    -219.5401  0.5451 
   00037    0.5900    -209.4697  0.4947 
   00038    0.4500    -212.7867  0.5049 
   00039    0.5800    -227.0668  0.4682 
   00040    0.5200    -217.1584  0.4315 
   00041    0.6000    -227.0340  0.4189 
   00042    0.5700    -236.3258  0.4238 
   00043    0.5000    -237.1630  0.4671 
   00044    0.5200    -232.1661  0.4738 
   00045    0.4900    -234.5111  0.5336 
   00046    0.4200    -245.0260  0.5434 
   00047    0.4900    -243.7817  0.5053 
   00048    0.4800    -246.4713  0.4248 
   00049    0.4800    -240.3007  0.3502 
   00050    0.5300    -236.0432  0.3452 
   00051    0.4200    -231.0048  0.3253 
   00052    0.5700    -204.6725  0.3087 
   00053    0.4600    -226.0792  0.3278 
   00054    0.5200    -224.6255  0.2911 
   00055    0.5500    -227.3584  0.3326 
   00056    0.5000    -217.2116  0.3648 
   00057    0.5200    -248.1163  0.3941 
   00058    0.3900    -243.3235  0.3677 
   00059    0.5000    -236.2570  0.3706 
   00060    0.5000    -230.2315  0.3786 
   00061    0.4800    -241.7262  0.4212 
   00062    0.4500    -226.1862  0.5201 
   00063    0.6400    -225.2551  0.4887 
   00064    0.4500    -235.6888  0.4786 
   00065    0.4000    -231.3921  0.4632 
   00066    0.5100    -230.0933  0.4512 
   00067    0.5700    -226.4442  0.3963 
   00068    0.4800    -230.4268  0.4449 
   00069    0.5200    -219.9876  0.5068 
   00070    0.5300    -208.7216  0.5235 
   00071    0.5400    -231.4413  0.5612 
   00072    0.5000    -221.2090  0.4859 
   00073    0.5000    -236.7397  0.4935 
   00074    0.4900    -235.4397  0.4581 
   00075    0.5400    -212.1274  0.4147 
   00076    0.5200    -202.6923  0.3711 
   00077    0.6000    -217.6523  0.3675 
   00078    0.5400    -208.6789  0.4128 
   00079    0.5600    -222.7710  0.4577 
   00080    0.4900    -236.9545  0.4209 
   00081    0.5400    -202.7015  0.3435 
   00082    0.6200    -190.5065  0.3294 
   00083    0.5800    -214.4237  0.2874 
   00084    0.5400    -222.7560  0.3439 
   00085    0.5200    -239.9709  0.3584 
   00086    0.5200    -219.3556  0.3872 
   00087    0.5100    -217.8619  0.4279 
   00088    0.5100    -226.2264  0.4305 
   00089    0.6100    -219.5395  0.4258 
   00090    0.5000    -211.0288  0.3664 
   00091    0.4800    -211.0211  0.3779 
   00092    0.5100    -234.7175  0.4778 
   00093    0.5200    -250.3814  0.5083 
   00094    0.4600    -239.0014  0.4940 
   00095    0.4700    -252.7588  0.4651 
   00096    0.5000    -235.2785  0.4667 
   00097    0.4600    -236.9261  0.4059 
   00098    0.5000    -239.2428  0.4358 
   00099    0.4900    -228.9694  0.3960 
   00100    0.4600    -225.0097  0.3436 
