#=====================================================
# File created:        Sat-09-Mar-2024-at-02-19-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.356098
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2405.5369  0.2510 
   00001    0.6848   -3634.5466  0.2644 
   00002    0.6180   -4495.7893  0.2729 
   00003    0.5840   -5024.8819  0.2839 
   00004    0.5728   -5452.5286  0.2883 
   00005    0.5452   -5787.4528  0.3027 
   00006    0.5388   -6132.2095  0.3190 
   00007    0.5016   -6359.0987  0.3217 
   00008    0.4916   -6429.0208  0.3238 
   00009    0.4944   -6639.3247  0.3343 
   00010    0.4972   -6842.1326  0.3378 
   00011    0.4676   -6923.7754  0.3448 
   00012    0.4784   -7073.1419  0.3538 
   00013    0.4596   -7125.1572  0.3562 
   00014    0.4688   -7244.0764  0.3654 
   00015    0.4540   -7328.6954  0.3757 
   00016    0.4396   -7389.2533  0.3788 
   00017    0.4592   -7433.1403  0.3770 
   00018    0.4544   -7509.8955  0.3720 
   00019    0.4552   -7533.9268  0.3750 
   00020    0.4476   -7560.4625  0.3735 
   00021    0.4536   -7590.3162  0.3744 
   00022    0.4656   -7597.6989  0.3720 
   00023    0.4436   -7605.9900  0.3746 
   00024    0.4376   -7691.5712  0.3765 
   00025    0.4372   -7678.2331  0.3877 
   00026    0.4572   -7709.8128  0.3963 
   00027    0.4444   -7686.8323  0.3987 
   00028    0.4404   -7727.7574  0.4052 
   00029    0.4256   -7780.9463  0.4105 
   00030    0.4448   -7801.7587  0.4128 
   00031    0.4372   -7815.9634  0.4182 
   00032    0.4480   -7848.7469  0.4216 
   00033    0.4360   -7848.7798  0.4140 
   00034    0.4388   -7859.3366  0.4142 
   00035    0.4244   -7842.8449  0.4067 
   00036    0.4388   -7928.3782  0.4104 
   00037    0.4448   -7932.0681  0.4136 
   00038    0.4244   -7928.7814  0.4180 
   00039    0.4592   -7925.0000  0.4252 
   00040    0.4268   -7942.9755  0.4277 
   00041    0.4408   -7997.7953  0.4332 
   00042    0.4272   -7965.9271  0.4353 
   00043    0.4244   -7960.6764  0.4334 
   00044    0.4392   -7991.6664  0.4339 
   00045    0.4364   -8016.7910  0.4363 
   00046    0.4172   -8046.5207  0.4424 
   00047    0.4296   -8057.2915  0.4410 
   00048    0.4208   -8062.5295  0.4402 
   00049    0.4368   -8052.3793  0.4440 
   00050    0.4244   -8107.5569  0.4559 
