#=====================================================
# File created:        Sun-10-Mar-2024-at-08-43-53PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.541701
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2452.5417  0.2596 
   00001    0.6644   -3686.7469  0.2594 
   00002    0.6348   -4603.0111  0.2700 
   00003    0.5900   -5181.1381  0.2808 
   00004    0.5636   -5703.6005  0.2801 
   00005    0.5292   -6059.0841  0.2885 
   00006    0.4880   -6356.3845  0.2924 
   00007    0.5012   -6565.9719  0.3009 
   00008    0.4868   -6784.2411  0.2987 
   00009    0.4884   -6897.2522  0.2986 
   00010    0.4796   -7028.3555  0.3073 
   00011    0.4716   -7117.1023  0.3038 
   00012    0.4560   -7225.6389  0.3075 
   00013    0.4540   -7297.7407  0.3034 
   00014    0.4640   -7405.3038  0.3030 
   00015    0.4644   -7397.9319  0.3161 
   00016    0.4648   -7446.6619  0.3207 
   00017    0.4676   -7495.9167  0.3147 
   00018    0.4564   -7590.7039  0.3075 
   00019    0.4392   -7633.1110  0.3099 
   00020    0.4584   -7721.8877  0.3025 
   00021    0.4472   -7772.9167  0.3053 
   00022    0.4388   -7767.8138  0.3110 
   00023    0.4552   -7760.2684  0.3054 
   00024    0.4524   -7785.6005  0.3003 
   00025    0.4396   -7838.4063  0.2989 
   00026    0.4456   -7898.3324  0.2999 
   00027    0.4392   -7922.8256  0.3041 
   00028    0.4260   -7941.2480  0.3025 
   00029    0.4220   -7975.7338  0.3092 
   00030    0.4212   -8028.1468  0.3071 
   00031    0.4180   -8041.0735  0.3147 
   00032    0.4192   -8037.6569  0.3129 
   00033    0.4320   -8060.8450  0.3175 
   00034    0.4216   -8051.7951  0.3176 
   00035    0.4176   -8021.4445  0.3209 
   00036    0.4280   -8031.5604  0.3276 
   00037    0.4068   -8052.3313  0.3346 
   00038    0.4128   -8100.1042  0.3327 
   00039    0.4104   -8110.5615  0.3296 
   00040    0.4340   -8128.1037  0.3366 
   00041    0.4284   -8132.5378  0.3371 
   00042    0.4252   -8146.5007  0.3362 
   00043    0.4308   -8161.9230  0.3400 
   00044    0.4172   -8199.5545  0.3464 
   00045    0.4408   -8195.8121  0.3399 
   00046    0.4252   -8178.5843  0.3416 
   00047    0.4216   -8151.0836  0.3433 
   00048    0.4084   -8159.1244  0.3432 
   00049    0.4360   -8144.6312  0.3426 
   00050    0.4484   -8128.8649  0.3348 
