#=====================================================
# File created:        Sun-10-Mar-2024-at-03-55-36PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.803999
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -31.0343  0.4075 
   00001    0.5200     -37.9388  0.3395 
   00002    0.6400     -48.1284  0.4518 
   00003    0.7600     -58.8777  0.6370 
   00004    0.5200     -57.0796  0.6035 
   00005    0.4400     -57.2504  0.6027 
   00006    0.5600     -64.0971  0.7051 
   00007    0.4000     -61.4750  0.6507 
   00008    0.5200     -62.1994  0.6789 
   00009    0.4000     -61.8002  0.6713 
   00010    0.3600     -60.8548  0.6279 
   00011    0.4800     -66.9046  0.6545 
   00012    0.3600     -64.7730  0.6162 
   00013    0.4800     -57.8371  0.5796 
   00014    0.4800     -59.1128  0.6437 
   00015    0.3200     -65.0966  0.6866 
   00016    0.5200     -70.6546  0.7620 
   00017    0.4800     -69.9446  0.7407 
   00018    0.3600     -72.5054  0.7809 
   00019    0.4000     -75.8008  0.8307 
   00020    0.4000     -74.3283  0.8241 
   00021    0.4400     -85.1602  0.8942 
   00022    0.4000     -83.5541  0.9107 
   00023    0.5200     -80.7279  0.8877 
   00024    0.2800     -81.7663  0.8979 
   00025    0.3600     -82.9193  0.8856 
   00026    0.2800     -84.7506  0.8857 
   00027    0.4400     -86.5911  0.8965 
   00028    0.3200     -86.5487  0.9108 
   00029    0.3600     -74.3383  0.8341 
   00030    0.4000     -80.9974  0.8769 
   00031    0.3600     -84.1431  0.9169 
   00032    0.4800     -82.5546  0.9104 
   00033    0.2400     -81.2856  0.9102 
   00034    0.4000     -82.9361  0.8957 
   00035    0.3200     -74.5693  0.8492 
   00036    0.5600     -77.4789  0.8501 
   00037    0.2000     -79.4599  0.8682 
   00038    0.3600     -82.8308  0.8955 
   00039    0.4400     -83.5759  0.8893 
   00040    0.4000     -79.6813  0.8817 
   00041    0.3200     -79.4062  0.8503 
   00042    0.4400     -84.8928  0.8933 
   00043    0.3200     -85.9152  0.8945 
   00044    0.6400     -78.2308  0.8606 
   00045    0.2000     -76.5555  0.8367 
   00046    0.4800     -79.1582  0.8673 
   00047    0.5200     -87.1463  0.9269 
   00048    0.4800     -85.7128  0.9278 
   00049    0.5600     -87.2921  0.9272 
   00050    0.3600     -88.3450  0.9432 
   00051    0.4400     -85.5718  0.9279 
   00052    0.3200     -88.1085  0.9436 
   00053    0.2800     -88.7526  0.9437 
   00054    0.2400     -91.6068  0.9456 
   00055    0.3600     -85.5969  0.9317 
   00056    0.3600     -86.4995  0.9279 
   00057    0.4400     -87.4148  0.9348 
   00058    0.3600     -88.6636  0.9424 
   00059    0.4000     -81.5386  0.8977 
   00060    0.2400     -83.6921  0.9048 
   00061    0.4400     -86.8563  0.9153 
   00062    0.6400     -87.4786  0.9279 
   00063    0.4800     -88.6544  0.9361 
   00064    0.4000     -83.1644  0.9002 
   00065    0.5200     -78.9866  0.8893 
   00066    0.4000     -78.5172  0.8417 
   00067    0.5600     -72.5584  0.7632 
   00068    0.2000     -71.8408  0.7626 
   00069    0.3600     -75.5495  0.8021 
   00070    0.4400     -79.4771  0.8464 
   00071    0.2800     -74.4900  0.8282 
   00072    0.5200     -73.1163  0.8295 
   00073    0.4000     -80.1868  0.8667 
   00074    0.4800     -76.8704  0.8420 
   00075    0.4000     -82.1200  0.8713 
   00076    0.4000     -82.6893  0.8837 
   00077    0.2400     -85.0310  0.8741 
   00078    0.4400     -85.3683  0.8839 
   00079    0.3600     -86.3622  0.9042 
   00080    0.3600     -83.9521  0.8989 
   00081    0.4000     -86.7365  0.9173 
   00082    0.4000     -87.9855  0.9192 
   00083    0.3600     -90.7852  0.9345 
   00084    0.3200     -88.3354  0.9210 
   00085    0.4800     -85.1218  0.8932 
   00086    0.3200     -86.1666  0.9008 
   00087    0.3600     -80.0581  0.8721 
   00088    0.5600     -82.8281  0.8792 
   00089    0.4800     -79.7888  0.8811 
   00090    0.4400     -83.6750  0.8898 
   00091    0.4400     -84.0794  0.8896 
   00092    0.4000     -81.1315  0.8797 
   00093    0.4800     -83.3785  0.8729 
   00094    0.3600     -82.8857  0.8740 
   00095    0.2800     -81.7504  0.8870 
   00096    0.4800     -81.5849  0.8497 
   00097    0.2800     -78.8774  0.8390 
   00098    0.3200     -77.6517  0.8274 
   00099    0.3600     -79.8292  0.8045 
   00100    0.3600     -78.5545  0.7730 
   00101    0.2800     -78.4077  0.7867 
   00102    0.4400     -82.1316  0.8415 
   00103    0.3200     -80.7194  0.8588 
   00104    0.3200     -75.9981  0.8128 
   00105    0.3600     -78.1263  0.8427 
   00106    0.5200     -74.1259  0.8318 
   00107    0.5600     -80.9856  0.8952 
   00108    0.3200     -82.4128  0.9029 
   00109    0.3200     -88.2903  0.9269 
   00110    0.5200     -87.5031  0.9263 
   00111    0.4400     -82.0980  0.8939 
   00112    0.4000     -84.7314  0.9094 
   00113    0.2400     -82.2559  0.8892 
   00114    0.4800     -83.8311  0.9069 
   00115    0.2800     -82.9605  0.9087 
   00116    0.3600     -83.6096  0.9263 
   00117    0.5200     -88.9410  0.9285 
   00118    0.3200     -87.1097  0.9114 
   00119    0.2800     -87.5947  0.9144 
   00120    0.3600     -84.6473  0.9160 
   00121    0.4000     -82.3303  0.8929 
   00122    0.2800     -84.3409  0.8946 
   00123    0.3600     -83.0739  0.8839 
