#=====================================================
# File created:        Sat-09-Mar-2024-at-11-17-43PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        37.395009
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -407.7461  0.2789 
   00001    0.6825    -577.7685  0.2920 
   00002    0.6625    -695.8439  0.3359 
   00003    0.5725    -800.2995  0.3541 
   00004    0.5025    -860.3217  0.3583 
   00005    0.5375    -903.4510  0.3579 
   00006    0.5075    -944.3147  0.3733 
   00007    0.5000    -977.9739  0.3551 
   00008    0.4675   -1000.1198  0.3238 
   00009    0.4800   -1010.4103  0.3016 
   00010    0.4325   -1013.1578  0.3111 
   00011    0.4725   -1026.5741  0.3085 
   00012    0.4900   -1034.7476  0.3118 
   00013    0.4475   -1042.3229  0.2993 
   00014    0.4625   -1067.7500  0.2727 
   00015    0.4575   -1084.2065  0.2747 
   00016    0.4400   -1093.5211  0.2767 
   00017    0.4125   -1098.8883  0.2752 
   00018    0.4975   -1099.9246  0.3014 
   00019    0.4575   -1074.4468  0.3007 
   00020    0.4700   -1092.2236  0.3007 
   00021    0.4775   -1109.5501  0.3020 
   00022    0.4600   -1130.7074  0.3123 
   00023    0.4150   -1129.3989  0.3030 
   00024    0.4275   -1176.6630  0.3168 
   00025    0.4350   -1160.4802  0.3516 
   00026    0.4075   -1172.5540  0.3457 
   00027    0.4675   -1196.0427  0.3646 
   00028    0.4025   -1179.7638  0.3781 
   00029    0.4425   -1189.4105  0.3865 
   00030    0.4250   -1192.3624  0.4003 
   00031    0.4600   -1222.8880  0.3771 
   00032    0.4150   -1224.4935  0.3771 
   00033    0.3800   -1213.1465  0.3665 
   00034    0.4350   -1202.3127  0.3661 
   00035    0.4525   -1220.2944  0.3744 
   00036    0.4100   -1220.6417  0.3702 
   00037    0.4550   -1228.8361  0.3700 
   00038    0.4300   -1240.9393  0.3847 
   00039    0.4325   -1229.6412  0.3863 
   00040    0.3750   -1235.5698  0.3670 
   00041    0.4475   -1206.0715  0.3681 
   00042    0.4075   -1206.2936  0.3520 
   00043    0.4275   -1194.8848  0.3279 
   00044    0.4350   -1184.1016  0.3234 
   00045    0.4200   -1221.7048  0.3365 
   00046    0.4150   -1247.2991  0.3253 
   00047    0.3850   -1256.3278  0.3176 
   00048    0.4350   -1250.7814  0.3177 
   00049    0.4375   -1239.4023  0.2898 
   00050    0.3950   -1240.0474  0.2931 
   00051    0.4075   -1218.8234  0.2885 
   00052    0.3650   -1219.2235  0.3005 
   00053    0.4475   -1192.4250  0.2679 
   00054    0.3800   -1200.2702  0.2799 
   00055    0.3850   -1176.6016  0.2913 
   00056    0.4450   -1182.2992  0.3224 
   00057    0.4450   -1164.7804  0.3266 
   00058    0.4175   -1157.0356  0.3208 
   00059    0.4350   -1183.7881  0.3288 
   00060    0.4175   -1193.4069  0.3265 
   00061    0.4425   -1184.9145  0.3128 
   00062    0.4775   -1164.9450  0.3269 
   00063    0.3700   -1194.3669  0.3291 
   00064    0.4000   -1196.5040  0.3350 
   00065    0.3925   -1196.8267  0.3260 
   00066    0.4175   -1203.1736  0.3077 
   00067    0.4175   -1197.4561  0.3058 
   00068    0.4450   -1195.1146  0.2979 
   00069    0.4450   -1190.3824  0.3009 
   00070    0.3925   -1206.9520  0.3098 
   00071    0.3875   -1197.8981  0.3045 
   00072    0.4350   -1198.5877  0.3101 
   00073    0.4075   -1205.3977  0.3185 
   00074    0.4250   -1203.6725  0.3061 
   00075    0.4325   -1188.5004  0.2915 
   00076    0.4125   -1176.8611  0.2901 
   00077    0.4150   -1166.5309  0.2869 
   00078    0.4675   -1168.1789  0.3057 
   00079    0.3975   -1186.3310  0.3177 
   00080    0.4000   -1199.2115  0.3276 
   00081    0.3625   -1200.0457  0.3465 
   00082    0.4375   -1212.8415  0.3287 
   00083    0.4375   -1202.6986  0.3537 
   00084    0.4050   -1197.0003  0.3490 
   00085    0.4200   -1199.1847  0.3495 
   00086    0.4550   -1194.8809  0.3345 
   00087    0.4000   -1179.0260  0.3131 
   00088    0.4050   -1182.3420  0.3427 
   00089    0.4075   -1187.7483  0.3458 
   00090    0.4225   -1198.2310  0.3370 
   00091    0.4800   -1204.5135  0.3593 
   00092    0.4025   -1196.1499  0.3377 
   00093    0.4000   -1200.5656  0.3240 
   00094    0.4325   -1208.7260  0.3348 
   00095    0.4025   -1214.9221  0.3201 
   00096    0.4300   -1209.3187  0.3195 
   00097    0.4175   -1217.8415  0.3010 
   00098    0.4200   -1218.0525  0.2974 
   00099    0.3875   -1206.8364  0.3140 
   00100    0.3875   -1202.6414  0.3023 
   00101    0.3625   -1211.1937  0.2949 
   00102    0.4225   -1196.8235  0.2897 
   00103    0.4325   -1218.7247  0.2982 
   00104    0.4175   -1217.2401  0.2964 
   00105    0.4475   -1194.1790  0.2947 
   00106    0.4075   -1202.6973  0.3137 
   00107    0.4025   -1227.3455  0.3393 
   00108    0.4075   -1230.8320  0.2986 
   00109    0.4125   -1217.8216  0.3199 
   00110    0.4150   -1239.7168  0.3373 
   00111    0.3700   -1264.4213  0.3174 
   00112    0.4025   -1238.4174  0.3179 
   00113    0.4525   -1263.9277  0.3159 
   00114    0.4175   -1251.8217  0.3191 
   00115    0.3625   -1257.0553  0.3272 
   00116    0.4725   -1267.6994  0.3236 
   00117    0.4150   -1247.1141  0.3410 
   00118    0.3850   -1244.6369  0.3388 
   00119    0.4125   -1244.5006  0.3524 
   00120    0.4300   -1248.4788  0.3546 
   00121    0.4000   -1247.5447  0.3517 
   00122    0.4025   -1224.4526  0.3774 
   00123    0.4600   -1205.2188  0.3745 
   00124    0.4250   -1201.1296  0.3771 
   00125    0.4775   -1202.3164  0.3660 
   00126    0.4150   -1210.1569  0.3710 
   00127    0.4250   -1218.5781  0.3905 
   00128    0.4650   -1224.3343  0.3951 
   00129    0.3900   -1223.7127  0.3917 
   00130    0.4125   -1236.2839  0.4027 
   00131    0.4150   -1264.8887  0.4065 
   00132    0.3525   -1228.7366  0.3933 
   00133    0.3900   -1232.8899  0.3611 
   00134    0.3800   -1230.9715  0.3580 
   00135    0.3925   -1246.7940  0.3577 
   00136    0.3950   -1246.4253  0.3561 
   00137    0.3825   -1243.3494  0.3650 
   00138    0.3600   -1269.0673  0.3618 
   00139    0.4375   -1263.1881  0.3707 
   00140    0.4000   -1262.1373  0.3815 
   00141    0.4000   -1239.2219  0.4022 
   00142    0.4675   -1208.6688  0.4013 
   00143    0.4250   -1206.6520  0.4035 
   00144    0.3725   -1212.0199  0.4041 
   00145    0.4700   -1228.5002  0.4015 
   00146    0.4025   -1222.6277  0.4042 
   00147    0.3975   -1243.4648  0.4042 
   00148    0.4300   -1253.7318  0.3967 
   00149    0.3950   -1213.8549  0.3850 
   00150    0.4175   -1221.0191  0.3661 
   00151    0.4000   -1218.2568  0.3616 
   00152    0.3750   -1250.9306  0.3692 
   00153    0.4325   -1261.5836  0.3754 
   00154    0.3925   -1239.6468  0.3709 
   00155    0.4400   -1247.3666  0.3805 
   00156    0.4300   -1257.8600  0.3612 
   00157    0.4250   -1249.2844  0.3503 
   00158    0.3775   -1241.0472  0.3329 
   00159    0.4300   -1248.2223  0.3275 
   00160    0.4100   -1252.5981  0.3335 
   00161    0.3975   -1254.7761  0.3284 
   00162    0.3750   -1276.4958  0.3414 
   00163    0.3925   -1277.5147  0.3560 
   00164    0.3900   -1269.2232  0.3606 
   00165    0.4150   -1267.6994  0.3647 
   00166    0.3950   -1238.5979  0.3665 
   00167    0.4075   -1240.0775  0.3651 
   00168    0.4175   -1240.7954  0.3810 
   00169    0.4275   -1240.1759  0.3706 
   00170    0.4025   -1247.0282  0.3767 
   00171    0.4300   -1221.7722  0.3485 
   00172    0.4200   -1236.1202  0.3692 
   00173    0.4575   -1259.3170  0.3598 
   00174    0.3500   -1278.8159  0.3547 
   00175    0.4200   -1264.4615  0.3583 
   00176    0.4275   -1256.5005  0.3566 
   00177    0.4300   -1258.3713  0.3707 
   00178    0.3975   -1263.3039  0.3889 
   00179    0.4225   -1234.6039  0.3854 
   00180    0.4125   -1223.6064  0.4054 
   00181    0.4175   -1269.1097  0.3978 
   00182    0.3875   -1261.1427  0.3971 
   00183    0.3675   -1258.4058  0.4059 
   00184    0.3875   -1248.1490  0.4068 
   00185    0.4375   -1235.7018  0.4069 
