MCS_variation,Lattice_size_variation,Temperature_variation
12.300979,1.219641,1.217278
12.514948,1.246772,1.305809
12.731943,1.241217,1.253698
12.376672,1.281893,1.176858
12.351965,1.275526,1.26902
12.860943,1.272184,1.189476
13.026776,1.242828,1.200705
12.645029,1.232208,1.204098
12.584705,1.225735,1.235804
12.360507,1.207443,1.184358
12.594146,1.215188,1.204175
13.758432,1.220118,1.216306
13.437909,1.248243,1.182969
12.487099,1.21486,1.198017
12.524187,1.239888,1.173118
12.79781,1.196705,1.219481
12.413954,1.323885,1.293118
12.450664,1.307965,1.335891
12.814107,1.278077,1.23402
12.939325,1.26561,1.122864
12.754447,1.271018,1.243192
12.819665,1.227576,1.228154
12.52717,1.238812,1.248797
12.839471,1.201543,1.278558
13.169184,1.227189,1.273793
12.336381,1.207053,1.229798
12.365549,1.210257,1.205479
12.381418,1.298735,1.193062
12.764011,1.226061,1.168191
12.481237,1.208898,1.197702
12.52898,1.267717,1.207629
12.630956,1.300514,1.191718
12.656708,1.237361,1.174626
12.683224,1.242192,1.220901
12.909955,1.220946,1.246765
12.32527,1.263159,1.227254
12.683356,1.279665,1.256411
13.005484,1.224715,1.271203
12.626494,1.320757,1.231021
12.52758,1.25097,1.178571
12.438151,1.211123,1.16276
12.654895,1.210152,1.228347
12.572083,1.240891,1.19335
12.707427,1.204584,1.192316
12.786483,1.213304,1.222986
12.879827,1.200324,1.194417
12.561399,1.278067,1.231523
12.52053,1.285393,1.259203
12.522861,1.208581,1.261292
12.59955,1.193469,1.323633
12.568122,1.171663,1.265276
12.281772,1.25502,1.243349
12.442393,1.264494,1.206271
12.6441,1.193788,1.230594
12.469741,1.265826,1.233903
12.424768,1.287984,1.220839
12.719291,1.215409,1.218484
12.479421,1.247843,1.231517
12.267105,1.238686,1.183173
12.570669,1.232425,1.229343
12.665982,1.27978,1.175003
12.614368,1.228153,1.206109
12.542013,1.206195,1.243704
12.599229,1.22936,1.219264
12.752111,1.251888,1.286987
12.469864,1.204246,1.185492
12.683116,1.247676,1.227879
12.457817,1.177839,1.24265
13.799326,1.21974,1.182401
12.891872,1.213562,1.210134
12.609087,1.226323,1.169307
12.293504,1.308358,1.189597
12.278316,1.260943,1.181354
12.424379,1.278534,1.153793
12.70236,1.236761,1.213209
12.397157,1.27453,1.195602
12.333458,1.198203,1.21929
12.732216,1.222147,1.230689
12.596216,1.234441,1.212885
13.266627,1.210544,1.206837
12.646058,1.229628,1.223683
12.595402,1.210024,1.192771
12.692202,1.256162,1.207225
12.376231,1.249897,1.206929
12.453297,1.234032,1.247147
13.095654,1.243132,1.290376
12.525154,1.224555,1.227978
12.405833,1.231523,1.203237
12.515161,1.198824,1.20549
12.522487,1.208391,1.189673
12.50134,1.314329,1.223549
12.48942,1.19272,1.201838
13.886726,1.193228,1.228698
12.331852,1.228758,1.190102
12.437864,1.279074,1.2192909148936169
12.675495,1.223611,1.2192909148936169
12.425042,1.2388256354166665,1.2192909148936169
