#=====================================================
# File created:        Sun-10-Mar-2024-at-03-44-07PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.286078
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -392.5257  0.3339 
   00001    0.5400    -375.7747  0.3076 
   00002    0.4575    -387.3779  0.3084 
   00003    0.4725    -363.7417  0.2873 
   00004    0.5375    -363.8060  0.3003 
   00005    0.5125    -418.5171  0.3242 
   00006    0.5125    -472.9446  0.3445 
   00007    0.4875    -446.2437  0.3431 
   00008    0.5150    -427.9389  0.3263 
   00009    0.5075    -452.6076  0.3300 
   00010    0.5050    -445.5763  0.3145 
   00011    0.4875    -421.8481  0.2951 
   00012    0.4775    -369.9720  0.2912 
   00013    0.4975    -380.9976  0.2702 
   00014    0.4850    -383.0241  0.3055 
   00015    0.5425    -421.5083  0.3010 
   00016    0.5125    -433.1723  0.2897 
   00017    0.4375    -408.8827  0.2739 
   00018    0.4625    -403.7614  0.2712 
   00019    0.4725    -380.5750  0.2919 
   00020    0.5425    -431.9146  0.2719 
   00021    0.4500    -393.6172  0.2529 
   00022    0.4675    -417.4737  0.2895 
   00023    0.3950    -377.3684  0.2973 
   00024    0.5250    -369.3628  0.3042 
   00025    0.5500    -411.2458  0.3251 
   00026    0.5625    -409.4874  0.3411 
   00027    0.5600    -437.9580  0.3043 
   00028    0.4650    -414.5717  0.3241 
   00029    0.4975    -404.2446  0.3109 
   00030    0.4775    -384.4251  0.2931 
   00031    0.4700    -391.3904  0.2843 
   00032    0.5825    -471.2320  0.2793 
   00033    0.4975    -455.8814  0.2923 
   00034    0.4325    -416.0456  0.3013 
   00035    0.4900    -418.3496  0.2989 
   00036    0.4750    -415.9870  0.3021 
   00037    0.4625    -398.0165  0.2941 
   00038    0.5000    -400.4281  0.2800 
   00039    0.4625    -385.2610  0.2798 
   00040    0.5675    -405.8413  0.2699 
   00041    0.4900    -402.5420  0.2658 
   00042    0.4550    -456.8960  0.2820 
   00043    0.4675    -443.1870  0.2621 
   00044    0.4675    -425.5142  0.2555 
   00045    0.4200    -407.8101  0.2782 
   00046    0.5175    -393.7823  0.2900 
   00047    0.4975    -367.2693  0.2990 
   00048    0.4950    -346.6294  0.3280 
   00049    0.5550    -404.6079  0.2953 
   00050    0.4775    -383.2596  0.3059 
   00051    0.4975    -371.4242  0.3151 
   00052    0.5350    -423.2617  0.3251 
   00053    0.5150    -438.7445  0.2833 
   00054    0.4825    -431.8562  0.2960 
   00055    0.4350    -432.4400  0.2928 
   00056    0.4500    -418.5767  0.2721 
   00057    0.4200    -362.1519  0.2609 
   00058    0.5275    -349.9180  0.2677 
   00059    0.4675    -360.5408  0.2734 
   00060    0.5225    -407.4593  0.2625 
   00061    0.5325    -429.3472  0.2797 
   00062    0.5025    -400.9238  0.2795 
   00063    0.4925    -427.0791  0.2869 
   00064    0.4950    -400.2671  0.2969 
   00065    0.5575    -408.9022  0.2836 
   00066    0.5100    -420.6926  0.2589 
   00067    0.4800    -416.2413  0.2908 
   00068    0.5300    -410.5446  0.2986 
   00069    0.5325    -449.5107  0.2747 
   00070    0.5350    -433.2018  0.2904 
   00071    0.4200    -416.8751  0.2935 
   00072    0.4725    -419.9975  0.3032 
   00073    0.4750    -367.5576  0.2614 
   00074    0.5175    -389.0786  0.2768 
   00075    0.5675    -418.0759  0.2535 
   00076    0.4525    -402.0900  0.2600 
   00077    0.4875    -368.5980  0.2760 
   00078    0.5275    -416.8254  0.3013 
   00079    0.4975    -416.1461  0.3187 
   00080    0.5125    -406.2578  0.3183 
   00081    0.5050    -416.6981  0.3267 
   00082    0.5250    -386.8792  0.2995 
   00083    0.4525    -419.1035  0.3050 
   00084    0.4800    -429.6435  0.3303 
   00085    0.4800    -405.7784  0.3056 
   00086    0.5850    -467.5732  0.2869 
   00087    0.4875    -422.9484  0.2752 
   00088    0.5175    -461.8210  0.2552 
   00089    0.4700    -449.6455  0.2780 
   00090    0.4650    -477.3043  0.2825 
   00091    0.3500    -420.6985  0.2940 
   00092    0.5200    -417.2646  0.2984 
   00093    0.4375    -397.5532  0.3009 
   00094    0.5125    -413.4400  0.3067 
   00095    0.4575    -397.9644  0.2955 
   00096    0.5475    -435.5471  0.3019 
   00097    0.4950    -421.4428  0.3037 
   00098    0.4925    -386.2516  0.2793 
   00099    0.4925    -399.4460  0.2938 
   00100    0.4675    -445.1548  0.2759 
   00101    0.5200    -458.2429  0.2791 
   00102    0.4200    -424.8078  0.2769 
   00103    0.4900    -415.5610  0.2788 
   00104    0.4825    -401.9734  0.2600 
   00105    0.5775    -412.3514  0.2688 
   00106    0.5150    -414.2824  0.2861 
   00107    0.4725    -440.9567  0.2771 
   00108    0.4850    -443.4142  0.2677 
   00109    0.5100    -431.3665  0.2789 
   00110    0.5000    -429.4371  0.2912 
   00111    0.5075    -387.4770  0.2659 
   00112    0.5250    -427.0949  0.2869 
   00113    0.5075    -436.0013  0.2916 
   00114    0.5450    -439.4191  0.3064 
   00115    0.5225    -415.5603  0.3115 
   00116    0.4825    -396.5505  0.3149 
   00117    0.4575    -420.2018  0.3031 
   00118    0.5300    -446.6369  0.2841 
   00119    0.4875    -435.3257  0.2734 
   00120    0.4350    -404.7560  0.2795 
   00121    0.4800    -389.9776  0.2582 
   00122    0.5275    -397.6385  0.2701 
   00123    0.5025    -391.2933  0.2729 
   00124    0.5100    -407.8408  0.2630 
   00125    0.4250    -396.6681  0.2703 
   00126    0.5175    -440.4124  0.2711 
   00127    0.5275    -408.0716  0.2833 
   00128    0.5300    -394.4486  0.2998 
   00129    0.5175    -417.7046  0.2990 
   00130    0.5175    -424.7084  0.3041 
   00131    0.5125    -420.7337  0.2940 
   00132    0.5050    -387.7425  0.2823 
   00133    0.5500    -389.4239  0.2612 
   00134    0.5775    -389.2170  0.2688 
   00135    0.5950    -452.3460  0.2757 
   00136    0.4550    -424.7313  0.2758 
   00137    0.4275    -400.9085  0.2635 
   00138    0.4725    -390.4345  0.2853 
   00139    0.5550    -403.2953  0.2910 
   00140    0.4750    -462.4594  0.3093 
   00141    0.4325    -459.6164  0.3139 
   00142    0.4950    -481.9435  0.2998 
   00143    0.5150    -452.9726  0.2857 
   00144    0.5375    -480.0954  0.3142 
   00145    0.5125    -444.3850  0.2866 
   00146    0.5575    -391.2909  0.2781 
   00147    0.4375    -372.4271  0.2857 
   00148    0.5075    -400.3391  0.2834 
   00149    0.4950    -421.7809  0.3090 
   00150    0.5350    -418.7783  0.3023 
   00151    0.5400    -428.7913  0.3006 
   00152    0.5325    -388.0074  0.2744 
   00153    0.5050    -431.2511  0.2907 
   00154    0.4700    -439.7121  0.2639 
   00155    0.5175    -458.6438  0.2733 
   00156    0.4550    -426.4949  0.2607 
   00157    0.4850    -444.8362  0.3036 
   00158    0.4700    -429.1285  0.2871 
   00159    0.4800    -410.3208  0.2944 
   00160    0.4625    -410.9975  0.2768 
   00161    0.4550    -394.4907  0.2780 
   00162    0.4425    -421.0957  0.2685 
   00163    0.4650    -391.2311  0.2615 
   00164    0.4700    -328.6521  0.2614 
   00165    0.5775    -357.8694  0.2619 
   00166    0.4475    -342.6566  0.2659 
   00167    0.5750    -377.1902  0.2925 
   00168    0.5350    -385.3445  0.3090 
   00169    0.4800    -410.3566  0.3104 
   00170    0.5575    -426.6270  0.3204 
   00171    0.5525    -475.2868  0.2925 
   00172    0.4875    -463.3840  0.2985 
   00173    0.4800    -443.3199  0.2949 
   00174    0.4575    -417.2611  0.2636 
   00175    0.4725    -410.8542  0.2721 
   00176    0.4925    -431.3657  0.2602 
